Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
European Review of Private Law,0928-9801,1875-8371,2,1,Rettsvitenskap,1848,83,18.0,83.0,"[u'http://www.hero.ac.uk/rae/#Journal-european_review_of_private_law:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-european_review_of_private_law:1998', u'http://www.hero.ac.uk/rae/#Journal-european_review_of_private_law:1998', u'http://www.hero.ac.uk/rae/#Journal-european_review_of_private_law:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-european_review_of_private_law:1998', u'http://wikidata.dbpedia.org/resource/Q15766783', u'http://era.rkbexplorer.com/id/ERAID-33311', u'http://www.wikidata.org/entity/Q15766783S07202B5A-AC85-4AE3-8675-BAF070753E36', u'http://lobid.org/resource/HT016023087', u'http://lobid.org/resource/HT014842571', u'http://lobid.org/resource/HT014053694', u'http://www.wikidata.org/entity/Q15766783', u'http://www.wikidata.org/entity/Q15766783', u'http://lod.hebis.de/resource/09159176', u'http://lod.hebis.de/resource/06911548', u'http://lod.hebis.de/resource/06911548', u'http://ld.zdb-services.de/resource/2015440-9', u'http://ld.zdb-services.de/resource/1178995-5', u'http://rae2001.rkbexplorer.com/id/resource-Journal-european_review_of_private_law:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-european_review_of_private_law:1999']"
European Sport Management Quarterly,1618-4742,1746-031X,1,2,Idrettsforskning,399,29,8.0,29.0,"[u'http://ld.zdb-services.de/resource/2199044-X', u'http://wikidata.dbpedia.org/resource/Q15756596', u'http://era.rkbexplorer.com/id/ERAID-33026', u'http://www.wikidata.org/entity/Q15756596', u'http://www.wikidata.org/entity/Q15756596', u'http://eprints.soton.ac.uk/id/publication/ext-16184742', u'http://wikidata.dbpedia.org/resource/Q15756596', u'http://era.rkbexplorer.com/id/ERAID-33026', u'http://lobid.org/resource/ZDB2055074-1', u'http://www.wikidata.org/entity/Q15756596', u'http://www.wikidata.org/entity/Q15756596', u'http://www.wikidata.org/entity/Q15756596', u'http://lod.hebis.de/resource/09992684', u'http://lod.hebis.de/resource/09992684', u'http://lod.hebis.de/resource/13038121', u'http://ld.zdb-services.de/resource/2055074-1', u'http://wikidata.dbpedia.org/resource/Q15756596', u'http://wikidata.dbpedia.org/resource/Q15756596', u'http://wikidata.dbpedia.org/resource/Q15756596', u'http://wikidata.dbpedia.org/resource/Q15756596']"
European Yearbook of Minority Issues,1570-7865,2211-6117,2,1,Rettsvitenskap,367,14,0.0,14.0,"[u'http://lod.hebis.de/resource/12263394', u'http://lod.hebis.de/resource/12263394', u'http://ld.zdb-services.de/resource/2476350-0', u'http://ld.zdb-services.de/resource/2151454-9', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#757565', u'http://lod.hebis.de/resource/26588761', u'http://lod.hebis.de/resource/26588761', u'http://lod.hebis.de/resource/25784743', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#341420', u'http://lod.hebis.de/resource/23158418', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#1547497', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1111050', u'http://lod.hebis.de/resource/25784743', u'http://lod.hebis.de/resource/23158418']"
Experimental mechanics,0014-4851,1741-2765,1,2,Tekn - Maskinteknikk,1497,771,44.0,100.0,"[u'http://ld.zdb-services.de/resource/599924-8', u'http://dbpedia.org/resource/Experimental_Mechanics', u'http://dbpedia.org/resource/Category:Experimental_mechanics', u'http://www.hero.ac.uk/rae/#Journal-experimental_mechanics:1999', u'http://dbpedia.org/resource/Experimental_mechanics', u'http://derpi.tuwien.ac.at/~andrei/rdfdata/organizations.daml#A1133', u'http://dbpedia.org/resource/Category:Experimental_mechanics', u'http://rae2001.rkbexplorer.com/id/resource-Journal-experimental_mechanics:2000', u'http://www.hero.ac.uk/rae/#Journal-experimental_mechanics:2000', u'http://eprints.rkbexplorer.com/id/cued-cambridge/journal-b6ed3159e4029fcb56cb69c1dd1e6ae0', u'http://rae2001.rkbexplorer.com/id/resource-Journal-experimental_mechanics:1998', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#670874', u'http://rae2001.rkbexplorer.com/id/resource-Journal-experimental_mechanics:1999', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1566617', u'http://dbpedia.org/resource/Experimental_Mechanics', u'http://wikidata.dbpedia.org/resource/Q5421117', u'http://dbpedia.org/resource/Experimental_Mechanics', u'http://dbpedia.org/resource/Category:Experimental_mechanics', u'http://era.rkbexplorer.com/id/ERAID-5119', u'http://dbpedia.org/class/yago/ExperimentalMechanics']"
Fordham International Law Journal,0747-9395,,2,1,Rettsvitenskap,570,78,44.0,78.0,"[u'http://ld.zdb-services.de/resource/2246830-4', u'http://dbpedia.org/resource/Fordham_International_Law_Journal', u'http://dbpedia.org/resource/Fordham_International_Law_Journal', u'http://dbpedia.org/resource/Fordham_International_Law_Journal', u'http://rae2001.rkbexplorer.com/id/resource-Journal-fordham_international_law_journal:1999', u'http://www.hero.ac.uk/rae/#Journal-fordham_international_law_journal:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-fordham_international_law_journal:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-fordham_international_law_journal:1999', u'http://dbpedia.org/resource/Fordham_International_Law_Journal', u'http://wikidata.dbpedia.org/resource/Q5468066', u'http://era.rkbexplorer.com/id/ERAID-33337', u'http://www.hero.ac.uk/rae/#Journal-fordham_international_law_journal:1999', u'http://eprints.soton.ac.uk/id/publication/ext-07479395', u'http://www.wikidata.org/entity/Q5468066', u'http://www.wikidata.org/entity/Q5468066', u'http://www.wikidata.org/entity/Q5468066', u'http://lod.hebis.de/resource/06641275', u'http://ld.zdb-services.de/resource/705942-5', u'http://rdf.freebase.com/ns/m.026sk_v', u'http://www.hero.ac.uk/rae/#Journal-fordham_international_law_journal:1999']"
Frontiers in Psychology,,1664-1078,1,2,Psykologi,1258,57,37.0,57.0,"[u'http://wikidata.dbpedia.org/resource/Q2794477', u'http://fr.dbpedia.org/resource/Lexique_(base_de_donn\xe9es)', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://lobid.org/resource/TT000819320', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://www.wikidata.org/entity/Q2794477', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://ld.zdb-services.de/resource/2563826-9', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://dbpedia.org/resource/Frontiers_in_Psychology', u'http://vivo.scripps.edu/individual/n527016287', u'http://lobid.org/resource/TT000819320', u'http://www.wikidata.org/entity/Q2794477', u'http://eprints.soton.ac.uk/id/publication/ext-16641078', u'http://lod.hebis.de/resource/22504391', u'http://nl.dbpedia.org/resource/Frontiers_in_Psychology', u'http://nl.dbpedia.org/resource/Frontiers_in_Psychology']"
Geotechnique,0016-8505,1751-7656,1,2,Tekn - Bygg og konstruksjonsteknikk,9,273,17.0,100.0,"[u'http://ld.zdb-services.de/resource/240560-x', u'http://ld.zdb-services.de/resource/2002811-8', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1998', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1998', u'http://www.hero.ac.uk/rae/#Journal-geotechnique.:1999', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1997', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique.:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:2000', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1996', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1998', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1997', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:2000', u'http://www.hero.ac.uk/rae/#Journal-geotechnique:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique.:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-geotechnique:1997']"
Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil,0435-8600,,2,1,Rettsvitenskap,2071,241,32.0,100.0,"[u'http://dbpedia.org/resource/Gewerblicher_Rechtsschutz_und_Urheberrecht_-_Internationaler_Teil', u'http://dbpedia.org/resource/Gewerblicher_Rechtsschutz_und_Urheberrecht._Internationaler_Teil', u'http://dbpedia.org/resource/Gewerblicher_Rechtsschutz_und_Urheberrecht_Internationaler_Teil', u'http://dbpedia.org/resource/Gewerblicher_Rechtsschutz_und_Urheberrecht,_Internationaler_Teil', u'http://dbpedia.org/class/yago/GewerblicherRechtsschutzUndUrheberrecht,InternationalerTeil', u'http://dbpedia.org/class/yago/GewerblicherRechtsschutzUndUrheberrecht,InternationalerTeil', u'http://lobid.org/resource/HT005587603', u'http://lobid.org/resource/HT005587601', u'http://lobid.org/resource/HT005587619', u'http://lobid.org/resource/HT006064040', u'http://lobid.org/resource/ZDB203675-7', u'http://lobid.org/resource/HT015084153', u'http://lobid.org/resource/HT010849056', u'http://lobid.org/resource/HT005587615', u'http://lobid.org/resource/HT005749122', u'http://lobid.org/resource/HT005587604', u'http://lobid.org/resource/HT014749811', u'http://lobid.org/resource/HT005749124', u'http://lobid.org/resource/HT007921026', u'http://lobid.org/resource/HT005587626']"
"Global Constitutionalism - Human Rights, Democracy and the Rule of Law",2045-3817,2045-3825,1,2,Rettsvitenskap,534,1,0.0,1.0,[u'http://lobid.org/resource/ZDB2656277-7']
Gynecologic Oncology,0090-8258,1095-6859,1,2,Med - Obstetrikk og gynekologi,959,2216,20.0,100.0,"[u'http://dbpedia.org/resource/Gynecologic_oncology', u'http://dbpedia.org/resource/Gynecologic_Oncology_(journal)', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#1034652', u'http://rdf.freebase.com/ns/m.0c00zsn', u'http://vivo.wustl.edu/individual/j5999718', u'http://dbpedia.org/resource/Gynecologic_Oncology_(journal)', u'http://wikidata.dbpedia.org/resource/Q5625182', u'http://lod.hebis.de/resource/04807916', u'http://vivo.med.cornell.edu/individual/org-s406', u'http://wikidata.dbpedia.org/resource/Q5625182', u'http://dbpedia.org/resource/Gynecologic_Oncology_(journal)', u'http://data.linkedct.org/resource/facility/e921fd6ca45558fbf57ac875709360cd', u'http://data.linkedct.org/resource/facility/2ab632775ece110ea0cd666d5ec6c910', u'http://data.linkedct.org/resource/facility/9c854b536798225cc55403c8450fe46e', u'http://wikidata.dbpedia.org/resource/Q5625182', u'http://wikidata.dbpedia.org/resource/Q5625182', u'http://lobid.org/resource/HT004056280', u'http://lobid.org/resource/HT004056334', u'http://lobid.org/resource/HT004002548', u'http://lobid.org/resource/HT014114980']"
HELR. The Harvard Evironmental Law Review,0147-8257,,2,1,Rettsvitenskap,20,0,0.0,0.0,[]
Historische Sprachforschung,0935-3518,2196-8071,1,2,Lingvistikk,3420,266,47.0,100.0,"[u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://gl.dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://rae2001.rkbexplorer.com/id/resource-Journal-historische_sprachforschung:1994', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://www.hero.ac.uk/rae/#Journal-historische_sprachforschung:1997', u'http://www.hero.ac.uk/rae/#Journal-historische_sprachforschung,_,:1994', u'http://rae2001.rkbexplorer.com/id/resource-Journal-historische_sprachforschung,_,:1994', u'http://www.hero.ac.uk/rae/#Journal-historische_sprachforschung:1994', u'http://it.dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://rae2001.rkbexplorer.com/id/resource-Journal-historische_sprachforschung,_,:1994', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://dbpedia.org/resource/Historische_Sprachforschung', u'http://lod.hebis.de/resource/04794374', u'http://de.dbpedia.org/resource/Historische_Sprachforschung', u'http://de.dbpedia.org/resource/Historische_Sprachforschung']"
Human Rights Law Review,1461-7781,1744-1021,2,1,Rettsvitenskap,1807,241,20.0,100.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-human_rights_law_review:1998', u'http://wikidata.dbpedia.org/resource/Q15754870', u'http://wikidata.dbpedia.org/resource/Q15754870', u'http://lobid.org/resource/ZDB2181009-6', u'http://www.wikidata.org/entity/Q15754870', u'http://www.wikidata.org/entity/Q15754870', u'http://eprints.soton.ac.uk/id/publication/ext-14617781', u'http://lod.hebis.de/resource/12722982', u'http://lod.hebis.de/resource/12722982', u'http://ld.zdb-services.de/resource/2181009-6', u'http://www.hero.ac.uk/rae/#Journal-human_rights_law_review:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-human_rights_law_review:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-human_rights_law_review:1997', u'http://www.hero.ac.uk/rae/#Journal-human_rights_law_review:1998', u'http://www.hero.ac.uk/rae/#Journal-human_rights_law_review:1997', u'http://wikidata.dbpedia.org/resource/Q15754870', u'http://wikidata.dbpedia.org/resource/Q15754870', u'http://era.rkbexplorer.com/id/ERAID-33406', u'http://lobid.org/resource/ZDB2181009-6', u'http://www.wikidata.org/entity/Q15754870']"
IEEE - International Conference on Distributed Computing Systems (ICDCS),1545-0678,,1,2,Tekn - Nett og nettverksfunksjonalitet,1074,43,4.0,43.0,"[u'http://kisti.rkbexplorer.com/id/PCD_00000000000000000091', u'http://colinda.org/resource/conference/ICDCS/2005', u'http://eprints.rkbexplorer.com/id/kfupm/journal-704328e0ea6826e7f384aa5e32d6cd94', u'http://eprints.rkbexplorer.com/id/kfupm/journal-9a69eb85573ef72b36a337a267d4a38d', u'http://kisti.rkbexplorer.com/id/PCD_00000000000000000091', u'http://eprints.rkbexplorer.com/id/kfupm/journal-e4c371833d6594b63e9fee27104afe62', u'http://eprints.rkbexplorer.com/id/kfupm/journal-9d6e7f1a6ab72d16207773115e518aa0', u'http://dblp.rkbexplorer.com/id/conf/icdcs/2008', u'http://dblp.rkbexplorer.com/id/conf/icdcs/2006', u'http://eprints.rkbexplorer.com/id/kfupm/journal-e92996d330a9c2887dcfa1f8b8f96f1b', u'http://eprints.rkbexplorer.com/id/kfupm/journal-467f7380ca280f3dc12a90c1c9bfe17f', u'http://kisti.rkbexplorer.com/id/PCD_00000000000000002974', u'http://eprints.rkbexplorer.com/id/kfupm/journal-18e740517dbde3e1e0252b6c60a5451e', u'http://citeseer.rkbexplorer.com/id/resource-CS562680', u'http://dblp.rkbexplorer.com/id/conf/icdcs/2006', u'http://citeseer.rkbexplorer.com/id/resource-CS562680', u'http://dblp.l3s.de/d2r/resource/publications/conf/icdcs/2006', u'http://dblp.rkbexplorer.com/id/conf/icdcs/2008', u'http://kisti.rkbexplorer.com/id/PCD_00000000000000002974', u'http://citeseer.rkbexplorer.com/id/CS562680']"
IEEE Communications Surveys and Tutorials,,1553-877X,1,2,Tekn - Nett og nettverksfunksjonalitet,1509,231,19.0,100.0,"[u'http://dbpedia.org/resource/IEEE_Communications_Surveys_and_Tutorials', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.rkbexplorer.com/id/journals-cd0c1ea868f74ef47e4cc8666b7db786', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/ChouL00', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/BabichD02', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/BettstetterVE99', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/SiripongwutikornBT03', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/GrandisonS00', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/MatrawyL03', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/WeiL03', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/ChalmersS99', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/NovakovicD00', u'http://dblp.uni-trier.de/rec/bibtex/journals/comsur/Ramalho00']"
IEEE Electron Device Letters,0741-3106,1558-0563,2,1,Tekn - Elektronikk og kybernetikk,709,124,6.0,100.0,"[u'http://eprints.ecs.soton.ac.uk/id/publication/ext-2abc0afdef3e5fc2c2f4e5e7ed1ac1b0', u'http://ld.zdb-services.de/resource/245158-x', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_electron_device_letters:1998', u'http://www.hero.ac.uk/rae/#Journal-ieee_electron_device_letters:1999', u'http://southampton.rkbexplorer.com/id/journal-a41b7e104f613f211191b43f723ba6f3', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_electron_device_letters:2000', u'http://eprints.rkbexplorer.com/id/twente/journal-1c86c92cbb391f9e651399a5645f8410', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_electron_device_letters:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_electron_device_letters:1999', u'http://wikidata.dbpedia.org/resource/Q15760151', u'http://wikidata.dbpedia.org/resource/Q15760151', u'http://era.rkbexplorer.com/id/ERAID-4425', u'http://www.hero.ac.uk/rae/#Journal-ieee_electron_device_letters:1999', u'http://lobid.org/resource/HT006437493', u'http://lobid.org/resource/HT003077780', u'http://lobid.org/resource/HT013107006', u'http://lobid.org/resource/HT003077781', u'http://lobid.org/resource/HT002294703', u'http://lobid.org/resource/HT003875858', u'http://lobid.org/resource/HT013997346']"
IEEE Infocom. Proceedings,0743-166X,,1,2,Tekn - Nett og nettverksfunksjonalitet,609,0,0.0,0.0,[]
IEEE journal of biomedical and health informatics,2168-2194,2168-2208,2,1,Tekn - Generell,413,5,0.0,5.0,"[u'http://ld.zdb-services.de/resource/2695320-1', u'http://eprints.soton.ac.uk/id/publication/ext-21682194', u'http://ld.zdb-services.de/resource/2687987-6', u'http://dblp.l3s.de/d2r/resource/publications/journals/titb/ZhangPM13', u'http://dblp.l3s.de/d2r/resource/publications/journals/titb/ZhangPM13']"
IEEE Journal of Oceanic Engineering,0364-9059,1558-1691,2,1,Tekn - Marin og maritim teknologi,1310,198,24.0,100.0,"[u'http://dbpedia.org/resource/Loihi_Seamount', u'http://vi.dbpedia.org/resource/B\xe0i_h\xe1t_c\u1ee7a_c\xe1_voi', u'http://www.hero.ac.uk/rae/#Journal-ieee_journal_of_oceanic_engineering:1998', u'http://www.hero.ac.uk/rae/#Journal-ieee_journal_of_oceanic_engineering:1996', u'http://www.hero.ac.uk/rae/#Journal-ieee_journal_of_oceanic_engineering:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_journal_of_oceanic_engineering:2000', u'http://www.hero.ac.uk/rae/#Journal-ieee_journal_of_oceanic_engineering.:1999', u'http://eprints.rkbexplorer.com/id/kfupm/journal-b156a2189de10b2ebc932a8375a4d55c', u'http://data.dcs.shef.ac.uk/paper/72', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_journal_of_oceanic_engineering:1998', u'http://vi.dbpedia.org/resource/B\xe0i_h\xe1t_c\u1ee7a_c\xe1_voi', u'http://dbpedia.org/resource/Whale_sounds', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_journal_of_oceanic_engineering:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_journal_of_oceanic_engineering:1996', u'http://vi.dbpedia.org/resource/B\xe0i_h\xe1t_c\u1ee7a_c\xe1_voi', u'http://wikidata.dbpedia.org/resource/Q15756447', u'http://lod.hebis.de/resource/04826834', u'http://era.rkbexplorer.com/id/ERAID-4699', u'http://tr.dbpedia.org/resource/Balina_\u015fark\u0131s\u0131', u'http://www.hero.ac.uk/rae/#Journal-ieee_journal_of_oceanic_engineering.:1999']"
IEEE Journal on Selected Areas in Communications,0733-8716,1558-0008,2,1,Tekn - Elektronikk og kybernetikk,3681,2300,18.0,100.0,"[u'http://dbpedia.org/resource/Multiprotocol_Label_Switching', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dbpedia.org/resource/IEEE_Journal_on_Selected_Areas_in_Communications', u'http://dbpedia.org/resource/Multiprotocol_Label_Switching', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://www.bibsonomy.org/bibtex/2ae2c6d6351c044ea1d01afc5cb3592f5/dblp', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001305', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://www.bibsonomy.org/bibtex/2382eac9da71d2931d0d90f8a2e887b10/dblp', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_journal_on_selected_areas_in_communications:1998', u'http://www.bibsonomy.org/bibtex/20891b60534eaccc6ef9bec60a4e574b7/dblp', u'http://dblp.rkbexplorer.com/id/journals-3f01225adb65ddcddd0df7e264eac20c', u'http://www.bibsonomy.org/bibtex/24d79d43f3213e803d833f167b2e63dab/dblp', u'http://www.bibsonomy.org/bibtex/2aa5895147e968aa01dfde4e5647b32b3/dblp', u'http://www.riff.org/node/11406']"
IEEE pervasive computing,1536-1268,1558-2590,1,2,Tekn - Nett og nettverksfunksjonalitet,575,287,17.0,100.0,"[u'http://dblp.rkbexplorer.com/id/journals-0f118e3a70b5450c1e0df0c7b59a849f', u'http://dblp.rkbexplorer.com/id/journals-0f118e3a70b5450c1e0df0c7b59a849f', u'http://dblp.rkbexplorer.com/id/journals-0f118e3a70b5450c1e0df0c7b59a849f', u'http://csdl.computer.org/rss/pervasive.xml', u'http://www.bibsonomy.org/bibtex/2a7a464876f269f5ce42e766e906254fa/dblp', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001334', u'http://www.bibsonomy.org/bibtex/201e224a47ab6a757f0e0cf75e71dc93d/dblp', u'http://eprints.rkbexplorer.com/id/kfupm/journal-0f118e3a70b5450c1e0df0c7b59a849f', u""http://fr.dbpedia.org/resource/S\xe9curit\xe9_de_l'information_au_sein_des_RFIDs"", u'http://wikidata.dbpedia.org/resource/Q2064787', u""http://fr.dbpedia.org/resource/S\xe9curit\xe9_de_l'information_au_sein_des_RFIDs"", u'http://wikidata.dbpedia.org/resource/Q2064787', u'http://nl.dbpedia.org/resource/IEEE_Pervasive_Computing_Magazine', u'http://wikidata.dbpedia.org/resource/Q2064787', u""http://fr.dbpedia.org/resource/S\xe9curit\xe9_de_l'information_au_sein_des_RFIDs"", u'http://www.bibsonomy.org/bibtex/2e60dbafb6017098421374d94327bd446/dblp', u'http://www.wikidata.org/entity/Q2064787', u'http://www.wikidata.org/entity/Q2064787', u'http://www.wikidata.org/entity/Q2064787', u'http://dblp.l3s.de/d2r/resource/journals/pervasive']"
IEEE Symposium on Security and Privacy : Proceedings,1081-6011,,1,2,Tekn - Nett og nettverksfunksjonalitet,1509,0,0.0,0.0,[]
IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,1,2,Tekn - Generell,590,30,11.0,30.0,"[u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://www.wikidata.org/entity/Q15753662SA11E941E-DA96-4ACC-B3AA-0918952EF875', u'http://lobid.org/resource/ZDB2299722-2', u'http://eprints.soton.ac.uk/id/publication/ext-19324545', u'http://www.wikidata.org/entity/Q15753662', u'http://www.wikidata.org/entity/Q15753662', u'http://ld.zdb-services.de/resource/2260089-9', u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://era.rkbexplorer.com/id/ERAID-41166', u'http://www.wikidata.org/entity/Q15753662', u'http://ld.zdb-services.de/resource/2299722-2', u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://era.rkbexplorer.com/id/ERAID-41166', u'http://wikidata.dbpedia.org/resource/Q15753662', u'http://lobid.org/resource/ZDB2260089-9', u'http://www.wikidata.org/entity/Q15753662', u'http://www.wikidata.org/entity/Q15753662', u'http://www.wikidata.org/entity/Q15753662']"
IEEE Transactions on Cybernetics,2168-2267,,1,2,Tekn - Elektronikk og kybernetikk,1889,3,0.0,3.0,"[u'http://ld.zdb-services.de/resource/2696603-7', u'http://ld.zdb-services.de/resource/2696559-8', u'http://eprints.soton.ac.uk/id/publication/ext-10834419']"
IEEE Transactions on Medical Imaging,0278-0062,1558-254X,2,1,Tekn - Elektronikk og kybernetikk,922,167,11.0,100.0,"[u'http://ld.zdb-services.de/resource/2068206-2', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-2e59563738aa66128900f67c991942e0', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001488', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_medical_imaging:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_medical_imaging:1999', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001487', u'http://eprints.rkbexplorer.com/id/ucl/journal-fc2b1caf9f22dfbdb13716fe3001e5d9', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_medical_imaging:1997', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_medical_imaging:1997', u'http://eprints.rkbexplorer.com/id/caltech/journal-fc2b1caf9f22dfbdb13716fe3001e5d9', u'http://eprints.rkbexplorer.com/id/kfupm/journal-886799e084a66978975dca0b88f22d17', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-2e59563738aa66128900f67c991942e0', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_medical_imaging:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_medical_imaging:1999', u'http://wikidata.dbpedia.org/resource/Q15751775', u'http://wikidata.dbpedia.org/resource/Q15751775', u'http://lod.hebis.de/resource/04794164', u'http://vivo.med.cornell.edu/individual/journal0278-0062', u'http://wikidata.dbpedia.org/resource/Q15751775', u'http://era.rkbexplorer.com/id/ERAID-4456']"
