Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Annual Rewiew of the Sociology of Religion,1877-5233,,1,2,Teologi og religionsvitenskap,55,0,0.0,0.0,[]
Applied Physics A: Materials Science & Processing,0947-8396,1432-0630,2,1,Tekn - Materialteknologi,4277,106,18.0,100.0,"[u'http://ld.zdb-services.de/resource/283365-7', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_&_Processing', u'http://dbpedia.org/resource/Crystal_skull', u'http://ko.dbpedia.org/resource/\uc218\uc815_\ud574\uace8', u'http://eprints.rkbexplorer.com/id/ucl/journal-650a94f75897b14e09bec6cac302b5ea', u'http://southampton.rkbexplorer.com/id/journal-2d3ac3f969c0412840d06f01e4fc926d', u'http://eprints.rkbexplorer.com/id/kfupm/journal-0350e6d9eddd6e20f51100db93efda7a', u'http://ko.dbpedia.org/resource/\uc218\uc815_\ud574\uace8', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_%26_Processing', u'http://dbpedia.org/class/yago/AppliedPhysics(journal)', u'http://dbpedia.org/resource/Lithium_niobate', u'http://eprints.soton.ac.uk/id/publication/ext-09478396', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-24ee48f79206924d2e5a691a25adba60', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_&_Processing', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_%26_Processing', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_%26_Processing', u'http://eprints.rkbexplorer.com/id/ecs-soton/journal-2d3ac3f969c0412840d06f01e4fc926d', u'http://dbpedia.org/resource/Applied_Physics_A:_Materials_Science_&_Processing', u'http://dbpedia.org/resource/Lithium_niobate', u'http://eprints.soton.ac.uk/id/publication/ext-09478396']"
Applied physics B,0946-2171,1432-0649,2,1,Tekn - Generell,1968,259,33.0,100.0,"[u'http://dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_physics_B', u'http://vi.dbpedia.org/resource/Photon', u'http://www.hero.ac.uk/rae/#Journal-applied_physics_b:2000', u'http://dbpedia.org/resource/Photon', u'http://dbpedia.org/resource/Applied_physics_B', u'http://wikidata.dbpedia.org/resource/Q2293947', u'http://wikidata.dbpedia.org/resource/Q2293947', u'http://dbpedia.org/resource/Applied_Physics_B', u'http://dbpedia.org/resource/Applied_physics_B', u'http://wikidata.dbpedia.org/resource/Q2293947', u'http://wikidata.dbpedia.org/resource/Q2293947', u'http://dbpedia.org/class/yago/AppliedPhysics(journal)', u'http://www.hero.ac.uk/rae/#Journal-applied_physics_b:2000', u'http://lobid.org/resource/HT006046574', u'http://lobid.org/resource/HT013890186', u'http://lobid.org/resource/HT012955162', u'http://lobid.org/resource/HT006057115', u'http://lobid.org/resource/HT013493101', u'http://lobid.org/resource/HT006274876']"
Archive for the Psychology of Religion/ Archiv für Religionspsychologie,0084-6724,1573-6121,1,2,Teologi og religionsvitenskap,1492,39,0.0,39.0,"[u'http://lobid.org/resource/HT005795039', u'http://lobid.org/resource/HT014815359', u'http://lobid.org/resource/HT016660872', u'http://lobid.org/resource/HT007620624', u'http://lobid.org/resource/HT005646193', u'http://lobid.org/resource/HT016173877', u'http://lobid.org/resource/HT006431346', u'http://lobid.org/resource/HT015691636', u'http://lobid.org/resource/HT005836445', u'http://lobid.org/resource/HT013630709', u'http://lobid.org/resource/HT006051204', u'http://lobid.org/resource/HT005646195', u'http://lobid.org/resource/HT015247109', u'http://lobid.org/resource/HT005646192', u'http://lobid.org/resource/TT001964255', u'http://lobid.org/resource/TT001964259', u'http://lobid.org/resource/HT005766454', u'http://lobid.org/resource/HT013612306', u'http://lobid.org/resource/HT013777753', u'http://lobid.org/resource/HT006115389']"
Arctic Review on Law and Politics,1891-6252,,1,2,Rettsvitenskap,3540,12,11.0,12.0,"[u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://www.wikidata.org/entity/Q11958586', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://wikidata.dbpedia.org/resource/Q11958586', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics', u'http://no.dbpedia.org/resource/Arctic_Review_on_Law_and_Politics']"
Arthritis Research & Therapy,,1478-6362,1,2,Med - Revmatologi,1424,62,13.0,62.0,"[u'http://ld.zdb-services.de/resource/2107602-9', u'http://arthritis-research.com/content/11/2/R40', u'http://arthritis-research.com/content/11/2/R43', u'http://arthritis-research.com/content/11/2/R41', u'http://vivo.med.cornell.edu/individual/journal1478-6362', u'http://lobid.org/resource/ZDB2041668-4', u'http://www.wikidata.org/entity/Q18410399', u'http://eprints.soton.ac.uk/id/publication/ext-14786354', u'http://dbpedia.org/resource/Bone_metastasis', u'http://arthritis-research.com/content/11/2/R44', u'http://arthritis-research.com/content/11/2/R37', u'http://eprints.rkbexplorer.com/id/ucl/journal-dfafb14689befb93c33989e3781c1484', u'http://arthritis-research.com/content/11/2/R39', u'http://arthritis-research.com/content/11/2/R36', u'http://fr.dbpedia.org/resource/M\xe9tastase_osseuse', u'http://lod.hebis.de/resource/09645340', u'http://eprints.soton.ac.uk/id/publication/ext-14786362', u'http://lod.hebis.de/resource/11114760', u'http://lod.hebis.de/resource/11114760', u'http://ld.zdb-services.de/resource/2041668-4']"
Astrophysical Journal Letters,2041-8205,2041-8213,1,2,Fysikk,1649,702,94.0,100.0,"[u'http://dbpedia.org/resource/4U_0142+61', u'http://dbpedia.org/resource/Solar_radius', u'http://dbpedia.org/resource/HD_222582_b', u'http://dbpedia.org/resource/HD_70642_b', u'http://dbpedia.org/resource/HD_192263_b', u'http://dbpedia.org/resource/79_Ceti_b', u'http://dbpedia.org/resource/HAT-P-5b', u'http://dbpedia.org/resource/HD_222582_b', u'http://dbpedia.org/resource/TrES-3b', u'http://dbpedia.org/resource/Sun', u'http://dbpedia.org/resource/Zeta_Puppis', u'http://cs.dbpedia.org/resource/Betelgeuze', u'http://cs.dbpedia.org/resource/Betelgeuze', u'http://cs.dbpedia.org/resource/Haumea_(trpasli\u010d\xed_planeta)', u'http://no.dbpedia.org/resource/Solen', u'http://cs.dbpedia.org/resource/Bibcode', u'http://dbpedia.org/resource/The_Astrophysical_Journal_Letters', u'http://dbpedia.org/resource/Zeta_Leporis', u'http://dbpedia.org/resource/HAT-P-5b', u'http://dbpedia.org/resource/HD_70573_b']"
Benjamins Translation Library,0929-7316,,2,1,Lingvistikk,513,57,4.0,57.0,"[u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#311378', u'http://datos.bne.es/resource/bimo0001359476', u'http://datos.bne.es/resource/a4611515', u'http://dbpedia.org/resource/Judith_Woodsworth', u'http://ld.zdb-services.de/resource/2162484-7', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#182193', u'http://fr.dbpedia.org/resource/Judith_Woodsworth', u'http://lobid.org/resource/HT016445372', u'http://datos.bne.es/resource/bimo0001654086', u'http://datos.bne.es/resource/bimo0001359454', u'http://id.loc.gov/authorities/names/n94010568', u'http://lod.hebis.de/resource/13009441', u'http://dbpedia.org/resource/Judith_Woodsworth', u'http://ld.zdb-services.de/resource/1458782-8', u'http://fr.dbpedia.org/resource/Judith_Woodsworth', u'http://lobid.org/resource/HT006411277', u'http://lobid.org/resource/HT006411277', u'http://datos.bne.es/resource/bimo0001533203', u'http://datos.bne.es/resource/XX3886625', u'http://lod.hebis.de/resource/13009441']"
Biblical Interpretation Series,0928-0731,,2,1,Teologi og religionsvitenskap,1610,57,0.0,57.0,"[u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1134861', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1991945', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#1094335', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#206116', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#24100', u'http://lobid.org/resource/HT004458280', u'http://lobid.org/resource/HT004458280', u'http://datos.bne.es/resource/bimo0000411072', u'http://datos.bne.es/resource/XX3696655', u'http://lod.b3kat.de/title/BV005883424', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#287553', u'http://datos.bne.es/resource/Mimo0001636511', u'http://lod.b3kat.de/title/BV008100039', u'http://ld.zdb-services.de/resource/1417409-1', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1498334', u'http://datos.bne.es/resource/XX3696655', u'http://lod.b3kat.de/title/BV005890081', u'http://id.loc.gov/authorities/names/n92100423', u'http://lod.b3kat.de/title/BV008313736', u'http://ld.zdb-services.de/resource/2253921-9']"
British Journal of Clinical Pharmacology,0306-5251,1365-2125,1,2,"Farmasi, farmakologi og toksikologi",2438,273,39.0,100.0,"[u'http://dbpedia.org/resource/British_Journal_of_Clinical_Pharmacology', u'http://dbpedia.org/resource/British_Journal_of_Clinical_Pharmacology', u'http://de.dbpedia.org/resource/British_journal_of_clinical_pharmacology', u'http://dbpedia.org/resource/British_Journal_of_Clinical_Pharmacology', u'http://dbpedia.org/resource/CYP2C9', u'http://www.hero.ac.uk/rae/#Journal-british_journal_of_clinical_pharmacology:1999', u'http://dbpedia.org/resource/British_journal_of_clinical_pharmacology', u'http://www.hero.ac.uk/rae/#Journal-british_journal_of_clinical_pharmacology:1997', u'http://www.hero.ac.uk/rae/#Journal-british_journal_of_clinical_pharmacology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:2000', u'http://www.hero.ac.uk/rae/#Journal-british_journal_of_clinical_pharmacology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-british_journal_of_clinical_pharmacology:1997', u'http://dbpedia.org/resource/British_Journal_of_Clinical_Pharmacology', u'http://dbpedia.org/resource/British_journal_of_clinical_pharmacology']"
