IEEE Journal on Selected Areas in Communications,0733-8716,1558-0008,2,1,Tekn - Elektronikk og kybernetikk
IEEE pervasive computing,1536-1268,1558-2590,1,2,Tekn - Nett og nettverksfunksjonalitet
IEEE Symposium on Security and Privacy : Proceedings,1081-6011,,1,2,Tekn - Nett og nettverksfunksjonalitet
IEEE Transactions on Biomedical Circuits and Systems,1932-4545,1940-9990,1,2,Tekn - Generell
IEEE Transactions on Cybernetics,2168-2267,,1,2,Tekn - Elektronikk og kybernetikk
IEEE Transactions on Medical Imaging,0278-0062,1558-254X,2,1,Tekn - Elektronikk og kybernetikk
IEEE transactions on microwave theory and techniques,0018-9480,1557-9670,2,1,Tekn - Elektronikk og kybernetikk
IEEE Transactions on Mobile Computing,1536-1233,,1,2,Tekn - Nett og nettverksfunksjonalitet
IEEE transactions on nanotechnology,1536-125X,1941-0085,2,1,Tekn - Materialteknologi
IEEE transactions on neural systems and rehabilitation engineering,1534-4320,1558-0210,1,2,Tekn - Generell
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,1939-3539,2,1,Tekn - Elektronikk og kybernetikk
IIC-International Review of Industrial Property and Copyright Law,0018-9855,,1,2,Rettsvitenskap
Immigration and Asylum Law and Policy in Europe,1568-2749,,2,1,Rettsvitenskap
Instructional Science,0020-4277,1573-1952,1,2,Pedagogikk og utdanning
Intellectual Property Law Library,1871-6725,,2,1,Rettsvitenskap
International and comparative corporate law journal,1388-7084,1875-8290,1,2,Rettsvitenskap
International and Comparative Criminal Law Series,1873-6629,,2,1,Rettsvitenskap
International Journal of Educational Development,0738-0593,1873-4871,1,2,Pedagogikk og utdanning
International Journal of Fracture,0376-9429,1573-2673,1,2,Tekn - Maskinteknikk
International Journal of Human Rights,1364-2987,1744-053X,1,2,Rettsvitenskap
International Journal of Impact Engineering,0734-743X,1879-3509,2,1,Tekn - Maskinteknikk
International Journal of Law and Information Technology,0967-0769,1464-3693,1,2,Rettsvitenskap
International Journal of Material Forming,1960-6206,1960-6214,1,2,Tekn - Maskinteknikk
International Journal of Production Economics,0925-5273,1873-7579,1,2,Tekn - Industriell økonomi
International Journal of Solids and Structures,0020-7683,1879-2146,2,1,Tekn - Materialteknologi
International Journal of Technology Management,0267-5730,1741-5276,1,2,Tekn - Maskinteknikk
International Journal of Transitional Justice,1752-7716,1752-7724,2,1,Rettsvitenskap
International Journal on Minority and Group Rights,1385-4879,1571-8115,2,1,Rettsvitenskap
International labour review (Print),0020-7780,1564-913X,2,1,Økonomisk-administrative fag
International Law and Development,1873-6602,,2,1,Rettsvitenskap
International Litigation in Practice,1874-0502,,2,1,Rettsvitenskap
International Migration Review,0197-9183,1747-7379,2,1,Utviklingsstudier
International Review of Biblical Studies,0074-9745,,2,1,Teologi og religionsvitenskap
International Studies in Human Rights,0924-4751,,2,1,Rettsvitenskap
Journal of Canadian Petroleum Technology,0021-9487,2156-4663,2,1,Tekn - Anvendt geologi og petroleumsfag
Journal of comparative economics (Print),0147-5967,1095-7227,2,1,Samfunnsøkonomi
Journal of Comparative Germanic Linguistics,1383-4924,1572-8552,2,1,Tysk og nederlandsk
Journal of Economic Dynamics and Control,0165-1889,1879-1743,2,1,Samfunnsøkonomi
Journal of engineering design,0954-4828,1466-1837,1,2,Tekn - Maskinteknikk
Journal of engineering materials and technology,0094-4289,1528-8889,1,2,Tekn - Maskinteknikk
Journal of engineering mechanics,0733-9399,1943-7889,1,2,Tekn - Maskinteknikk
Journal of Geotechnical and Geoenvironmental Engineering,1090-0241,1943-5606,1,2,Tekn - Bygg og konstruksjonsteknikk
Journal of Hebrew Scriptures,1203-1542,,2,1,Teologi og religionsvitenskap
Journal of Hydraulic Research,0022-1686,1814-2079,1,2,Tekn - Bygg og konstruksjonsteknikk
Journal of Intelligent Manufacturing,0956-5515,1572-8145,1,2,Tekn - Maskinteknikk
Journal of Management in Engineering,0742-597X,1943-5479,1,2,Tekn - Maskinteknikk
Journal of manufacturing science and engineering,1087-1357,1528-8935,1,2,Tekn - Maskinteknikk
Journal of manufacturing systems,0278-6125,1878-6642,1,2,Tekn - Maskinteknikk
Journal of Maritime Law and Commerce,0022-2410,2162-4127,2,1,Rettsvitenskap
Journal of Mass Media Ethics,0890-0523,1532-7728,2,1,Medier og kommunikasjon
Journal of Materials Chemistry A,2050-7488,,2,1,Tekn - Generell
Journal of Materials Chemistry C,2050-7526,,2,1,Tekn - Generell
Journal of materials chemistry. B,2050-750X,2050-7518,2,1,Tekn - Generell
Journal of Materials Processing Technology,0924-0136,1873-4774,1,2,Tekn - Maskinteknikk
Journal of microelectromechanical systems,1057-7157,1941-0158,2,1,Tekn - Elektronikk og kybernetikk
Journal of Modern African Studies,0022-278X,1469-7777,1,2,Utviklingsstudier
Journal of natural products,0163-3864,1520-6025,1,2,"Farmasi, farmakologi og toksikologi"
Journal of organizational behavior management,0160-8061,1540-8604,2,1,Økonomisk-administrative fag
Journal of Pharmaceutical Sciences,0022-3549,1520-6017,1,2,"Farmasi, farmakologi og toksikologi"
Journal of Power Sources,0378-7753,1873-2755,2,1,Tekn - Elkraft og elektrotekniske fag
Journal of quantitative criminology,0748-4518,1573-7799,2,1,Rettsvitenskap
Journal of research in crime and delinquency,0022-4278,1552-731X,2,1,Rettsvitenskap
Journal of Risk and Insurance,0022-4367,1539-6975,2,1,Økonomisk-administrative fag
Journal of Social Science Education,1611-9665,1618-5293,1,2,Pedagogikk og utdanning
Journal of Sport Management,0888-4773,1543-270X,2,1,Idrettsforskning
Journal of the European Ceramic Society,0955-2219,1873-619X,2,1,Tekn - Materialteknologi
Journal of the mechanics and physics of solids,0022-5096,1873-4782,1,2,Tekn - Maskinteknikk
Journal of tribology,0742-4787,1528-8897,1,2,Tekn - Maskinteknikk
Journal of World Intellectual Property,1422-2213,1747-1796,2,1,Rettsvitenskap
Land Economics,0023-7639,1543-8325,2,1,Samfunnsøkonomi
Language Resources and Evaluation,1574-020X,1574-0218,1,2,Lingvistikk
Language sciences (Oxford),0388-0001,1873-5746,1,2,Lingvistikk
Language Variation and Change,0954-3945,1469-8021,1,2,Lingvistikk
Law & Contemporary Problems,0023-9186,1945-2322,2,1,Rettsvitenskap
Law in Eastern Europe,0075-823X,,2,1,Rettsvitenskap
Learning and Instruction,0959-4752,1873-3263,1,2,Pedagogikk og utdanning
Learning Organization,0969-6474,1758-7905,2,1,Økonomisk-administrative fag
Legal Aspects of International Organization,0924-4883,,2,1,Rettsvitenskap
Legal Issues of European Integration,0377-0915,2212-1870,2,1,Rettsvitenskap
Leiden Journal of International Law,0922-1565,1478-9698,2,1,Rettsvitenskap
Linguistics,0024-3949,1613-396X,1,2,Lingvistikk
Linguistics and Philosophy,0165-0157,1573-0549,1,2,Lingvistikk
Marine Environmental Research,0141-1136,1879-0291,1,2,"Farmasi, farmakologi og toksikologi"
Marketing letters,0923-0645,1573-059X,2,1,Økonomisk-administrative fag
Materials and Manufacturing Processes,1042-6914,1532-2475,1,2,Tekn - Maskinteknikk
"Materials transactions, JIM",0916-1821,,2,1,Tekn - Materialteknologi
Max Planck Commentaries on World Trade Law,1574-907X,,2,1,Rettsvitenskap
Methods in Ecology and Evolution,,2041-210X,1,2,Biologi
Michigan Journal of International Law,1052-2867,,2,1,Rettsvitenskap
Michigan law review,0026-2234,1939-8557,2,1,Rettsvitenskap
Namn och bygd,0077-2704,,2,1,Nordisk
Nanostructured materials,0965-9773,1872-9150,2,1,Tekn - Materialteknologi
Nature Nanotechnology,1748-3387,1748-3395,1,2,Tekn - Materialteknologi
Nijhoff Law Specials,0924-4549,,2,1,Rettsvitenskap
Nordic Journal of Human Rights,1891-8131,1891-814X,2,1,Rettsvitenskap
Northwestern University law review,0029-3571,,2,1,Rettsvitenskap
Norwegian Archaeological Review,0029-3652,1502-7678,2,1,Arkeologi og konservering
Oceania,0029-8077,,2,1,Sosialantropologi
Optics Express,,1094-4087,2,1,Tekn - Generell
Organic electronics,1566-1199,1878-5530,2,1,Tekn - Elektronikk og kybernetikk
Palaeobulgarica,0204-4021,,2,1,Slavisk-baltisk
Pervasive and Mobile Computing,1574-1192,1873-1589,1,2,Informatikk
Pharmaceutical Research,0724-8741,1573-904X,2,1,"Farmasi, farmakologi og toksikologi"
Pharmacoepidemiology and Drug Safety,1053-8569,1099-1557,1,2,"Farmasi, farmakologi og toksikologi"
Physiotherapy,0031-9406,1873-1465,1,2,Helse- og sosialfag
Physiotherapy Theory and Practice,0959-3985,1532-5040,1,2,Helse- og sosialfag
Population Studies,0032-4728,1477-4747,1,2,Sosiologi
Procedural Aspects of International Law,1873-6580,,2,1,Rettsvitenskap
Psychotherapy and Psychosomatics,0033-3190,1423-0348,1,2,Med - Psykiatri
Psychotherapy Research,1050-3307,1468-4381,2,1,Psykologi
Quantitative Economics,1759-7323,1759-7331,1,2,Samfunnsøkonomi
Refugees and Human Rights,1387-6031,,2,1,Rettsvitenskap
Regional studies,0034-3404,1360-0591,2,1,Utviklingsstudier
Religion in Philosophy and Theology (RPT),1616-346X,,1,2,Teologi og religionsvitenskap
Reproductive Sciences,1933-7191,1933-7205,2,1,Med - Obstetrikk og gynekologi
Research in Engineering Design,0934-9839,1435-6066,1,2,Tekn - Maskinteknikk
Safety Science,0925-7535,1879-1042,2,1,Tekn - Tverrfaglighet
Scandinavian Journal of the Old Testament,0901-8328,1502-7244,1,2,Teologi og religionsvitenskap
Scandinavian Studies,0036-5637,2163-8195,1,2,Nordisk
Scandinavian Studies in Law,0085-5944,,1,2,Rettsvitenskap
Schizophrenia Bulletin,0586-7614,1745-1701,1,2,Med - Psykiatri
Slavonica,1361-7427,1745-8145,2,1,Slavisk-baltisk
Soft Matter,1744-683X,1744-6848,1,2,Tekn - Materialteknologi
SPE Drilling & Completion,1064-6671,1930-0204,2,1,Tekn - Anvendt geologi og petroleumsfag
Stanford law review,0038-9765,1939-8581,2,1,Rettsvitenskap
Studia in Veteris Testamenti Pseudepigrapha,0169-8125,,2,1,Teologi og religionsvitenskap
Studies in Christian Mission,0924-9389,,2,1,Teologi og religionsvitenskap
Studies in EU External Relations,1875-0451,,2,1,Rettsvitenskap
Studies in Narrative,1568-2706,,2,1,Lingvistikk
"Studies in Religion, Secular Beliefs and Human Rights",1871-7829,,2,1,Rettsvitenskap
Studies of Religion in Africa,0169-9814,,2,1,Teologi og religionsvitenskap
Studies on the Law of Treaties,1574-9088,,2,1,Rettsvitenskap
Sustainable Development,0968-0802,1099-1719,1,2,Utviklingsstudier
Systems Engineering,1098-1241,1520-6858,1,2,Tekn - Maskinteknikk
Technovation,0166-4972,1879-2383,1,2,Tekn - Maskinteknikk
